"client_id","age","gender","city"
3081,22,F,г. Москва
2801,29,F,г. Москва
4765,18,F,г. Москва
2809,31,M,г. Москва
2810,33,F,г. Москва
3936,25,M,г. Москва
2814,25,M,г. Москва
4791,18,F,г. Москва
2823,62,F,г. Москва
3103,23,M,г. Москва
2831,32,F,г. Москва
2837,33,M,г. Москва
2839,20,M,г. Москва
2840,32,M,г. Москва
2841,20,F,г. Москва
2843,30,M,г. Москва
2846,29,F,г. Москва
2858,18,M,г. Москва
2862,27,F,г. Москва
2865,20,F,г. Москва
2869,23,F,г. Москва
2872,19,F,г. Москва
4833,21,F,г. Москва
2879,19,F,г. Москва
2883,18,F,г. Москва
2896,50,F,г. Москва
2897,39,F,г. Москва
2898,33,F,г. Москва
2901,25,F,г. Москва
2905,24,M,г. Москва
2907,31,F,г. Москва
2911,32,M,г. Москва
3184,55,F,г. Москва
2918,33,M,г. Москва
4057,24,F,г. Москва
4068,21,F,г. Москва
2934,24,M,г. Москва
2941,26,M,г. Москва
2943,29,F,г. Москва
2945,68,M,г. Москва
2950,16,M,г. Москва
2951,27,M,г. Москва
4099,34,M,г. Москва
4949,48,F,г. Москва
2975,24,F,г. Москва
2984,27,F,г. Москва
4172,35,M,г. Москва
4174,22,F,г. Москва
2999,20,F,г. Москва
3001,17,F,г. Москва
4194,19,M,г. Москва
5026,31,M,г. Москва
3013,28,F,г. Москва
3014,31,M,г. Москва
3308,19,M,г. Москва
3016,22,M,г. Москва
3017,62,M,г. Москва
3018,20,M,г. Москва
4206,18,F,г. Москва
3021,20,F,г. Москва
3022,25,M,г. Москва
3026,28,M,г. Москва
3028,22,M,г. Москва
4218,28,M,г. Москва
3030,29,M,г. Москва
3032,19,M,г. Москва
3036,27,F,г. Москва
3049,21,F,г. Москва
3051,22,M,г. Москва
3054,18,F,г. Москва
3055,23,F,г. Москва
3060,56,F,г. Москва
3066,25,M,г. Москва
3075,20,M,г. Москва
3076,24,F,г. Москва
3086,22,F,г. Москва
3089,26,F,г. Москва
3377,26,M,г. Москва
5188,63,F,г. Москва
3097,44,F,г. Москва
3099,20,M,г. Москва
3100,25,F,г. Москва
7,18,F,г. Москва
3403,25,F,г. Москва
3113,20,F,г. Москва
4290,24,F,г. Москва
3125,25,M,г. Москва
3129,26,F,г. Москва
3133,21,M,г. Москва
3134,33,F,г. Москва
3139,29,F,г. Москва
3141,22,F,г. Москва
3142,33,M,г. Москва
3144,22,M,г. Москва
3152,24,F,г. Москва
3153,34,F,г. Москва
3172,22,M,г. Москва
3174,29,M,г. Москва
3476,37,F,г. Москва
3186,45,F,г. Москва
3188,21,M,г. Москва
3191,26,F,г. Москва
3192,22,M,г. Москва
3481,18,F,г. Москва
4408,57,M,г. Москва
5322,22,M,г. Москва
3206,19,M,г. Москва
4438,20,M,г. Москва
3210,29,M,г. Москва
3212,18,F,г. Москва
3213,21,F,г. Москва
3220,31,F,г. Москва
3228,33,M,г. Москва
3235,26,M,г. Москва
5369,20,M,г. Москва
5370,33,F,г. Москва
3242,21,F,г. Москва
3249,34,F,г. Москва
3264,32,F,г. Москва
3265,63,F,г. Москва
3266,58,F,г. Москва
3267,33,F,г. Москва
3548,30,M,г. Москва
4510,21,F,г. Москва
3552,26,M,г. Москва
3281,20,M,г. Москва
3282,62,F,г. Москва
3286,19,F,г. Москва
3291,22,F,г. Москва
3295,27,M,г. Москва
3300,24,F,г. Москва
3301,24,F,г. Москва
3599,20,M,г. Москва
3319,19,M,г. Москва
3609,31,M,г. Москва
3321,19,F,г. Москва
3323,28,F,г. Москва
3329,21,M,г. Москва
3331,28,F,г. Москва
3332,19,F,г. Москва
3345,25,F,г. Москва
3348,33,M,г. Москва
3353,17,F,г. Москва
5477,64,F,г. Москва
3355,23,F,г. Москва
3362,31,F,г. Москва
5501,20,F,г. Москва
3370,30,M,г. Москва
3375,50,F,г. Москва
3376,22,F,г. Москва
3380,22,F,г. Москва
5510,21,M,г. Москва
3382,23,M,г. Москва
3384,23,F,г. Москва
5511,22,F,г. Москва
3388,21,M,г. Москва
3390,22,M,г. Москва
3702,18,F,г. Москва
3409,24,F,г. Москва
3412,23,F,г. Москва
3722,16,M,г. Москва
3731,23,F,г. Москва
3420,25,M,г. Москва
3421,22,F,г. Москва
3422,39,F,г. Москва
5581,20,M,г. Москва
3439,44,F,г. Москва
4743,30,F,г. Москва
3452,20,F,г. Москва
3461,18,F,г. Москва
